id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
510,Dry and buttered Toast,,13,13,1900,1935,0,0
511,English Muffins,,130,136,1,1987,0,0.3
512,"Salt Cod, Egg Sauce",,21,21,1900,1907,0,0
513,Rice Cakes,,218,224,1,1949,0.05,20
514,Honey in the Comb,,50,50,1900,1917,0.2,0.4
516,Ris de Veau aux Epinards,,4,4,1900,1906,0,0
518,Quail on Toast,,43,43,1889,1958,0.4,0.6
519,"Broiled Green Bluefish, Drawn Butter",,4,4,1901,1901,0.2,0.2
520,Roast Leg of Mutton & Black Currant,,1,1,1900,1900,0,0
523,Frizzled Breakfast Bacon (to order),,1,1,1901,1901,0,0
525,French Fried Potatoes with Dinner Orders,,1,1,1901,1901,0.05,0.05
526,Beefsteak and Onions,,9,9,1900,1905,0.5,0.5
527,Roast (Vancouver) Suckling Pig & Bread Sauce,,2,2,1900,1900,,
529,Saute of Kidney,,2,2,1901,1901,0,0
530,"Knuckle of Veal, Bacon & Parsely Sauce",,1,1,1900,1900,0,0
531,"Coffee, Tea or Cocoa",,1,1,1901,1901,0.05,0.05
532,Scrambled Eggs and Bacon,,8,8,1900,1945,0.4,25
533,liver and bacon,,140,147,1889,1962,0.1,15
534,Fillet de Boeuf a la Parisienne,,2,2,1900,1900,,
535,Fried Chicken a la Maryland,,28,28,1898,1958,0.2,5.6
536,Fried sole,,65,65,1899,1961,0,0.4
537,Salt mackerel,,327,333,1859,1945,0,30
538,Bouchees aux Macaroni,,2,2,1900,1900,,
539,Cold Ham with Potato Salad,,36,36,1900,1955,0,1.75
540,mutton chops with potato chips,,2,2,1901,1901,0,0
541,Pork Sausage and Lyonaisse Potatoes,,1,1,1901,1901,0,0
542,"Tenderloin of pork, Robert sauce",,2,2,1900,1900,0,0
543,Roast Goose & Apple Sauce,,3,3,1900,1900,,
544,Oyster Stew,,431,455,1882,1982,0,50
545,Hot Breads,,17,17,1901,1954,0,0
548,Pork Sausage and Lyonnaise Potatoes,,9,9,1901,1901,0,0
549,"Baked Apple Dumpling, Hard Sauce",,15,15,1900,1953,0.1,0.3
550,Potato a la Maitre d'Hotel,,4,4,1892,1901,0.15,0.15
551,Cracked Wheat with Fresh Milk,,5,5,1901,1901,0,0
552,Boiled Cabbage,,21,22,1900,1962,0.05,0.35
553,Strawberries and Cream,,340,359,1880,1969,0,50
554,Chicken Liver with Mushrooms,,12,12,1900,1914,0.3,0.6
555,Mashed Pumpkins,,3,3,1900,1900,,
556,Roast in shell,,4,4,1900,1918,0.5,40
557,"Bread Pudding, Hard Sauce",,5,5,1901,1914,0.05,0.1
558,Indo Curry & Rice,,2,2,1900,1900,,
559,Steamed Apple Pudding & Hard Sauce,,2,2,1900,1900,,
561,Rice or Tapioca Pudding,,1,1,1901,1901,0.05,0.05
562,Fruit Pie,,36,36,1900,1981,0,1.2
563,Chocolate Pudding with Cream,,16,17,1901,1985,0.05,0.4
564,Scotch Sandwiches,,2,2,1900,1900,,
565,Chocolate Cream & Sauce,,2,2,1900,1900,,
566,Corn Starch Pudding with Cream,,4,4,1901,1901,0,0
